unit,name,kind,sector,from,nobs,beta_mkt,beta_oil_partial,partial_se,partial_lo,partial_hi,partial_p,beta_oil_total,total_se,total_lo,total_hi,total_p,market_oil_beta,r2,r2_oil_only,resid_vol,non_oil_vol,partial_q,total_q
MARKET,Oslo Børs Benchmark Index,market,,2007-08-10,994,1.00000,,,,,,0.28659,0.03705,0.21389,0.35928,0.00000,0.28659,0.26058,0.26058,0.02488,0.02488,,0.00000
Exploration & production,Exploration & production,sector,Exploration & production,2007-08-10,994,1.03268,0.34547,0.03566,0.27548,0.41545,0.00000,0.64142,0.04048,0.56198,0.72086,0.00000,0.28659,0.61326,0.38231,0.03327,0.04202,0.00000,0.00000
Oil service & drilling,Oil service & drilling,sector,Oil service & drilling,2007-08-10,994,1.13340,0.24337,0.03787,0.16905,0.31770,0.00000,0.56819,0.03872,0.49221,0.64418,0.00000,0.28659,0.61865,0.32099,0.03194,0.04260,0.00000,0.00000
Tankers & gas shipping,Tankers & gas shipping,sector,Tankers & gas shipping,2007-08-10,994,0.83313,-0.03397,0.04090,-0.11423,0.04630,0.40645,0.20479,0.03552,0.13508,0.27450,0.00000,0.28659,0.29279,0.06028,0.03617,0.04168,0.45161,0.00000
Other shipping,Other shipping,sector,Other shipping,2010-07-02,846,0.83915,0.00433,0.03948,-0.07317,0.08182,0.91275,0.19003,0.03671,0.11798,0.26208,0.00000,0.22130,0.19993,0.05038,0.03791,0.04127,0.91275,0.00000
Seafood,Seafood,sector,Seafood,2007-08-10,994,0.71765,-0.09141,0.02953,-0.14936,-0.03346,0.00202,0.11426,0.02947,0.05642,0.17210,0.00011,0.28659,0.23177,0.02273,0.03425,0.03861,0.00404,0.00011
Banks & insurance,Banks & insurance,sector,Banks & insurance,2007-08-10,994,0.80311,-0.03105,0.02248,-0.07517,0.01306,0.16751,0.19911,0.02466,0.15072,0.24749,0.00000,0.28659,0.58782,0.12267,0.01882,0.02745,0.22144,0.00000
Industrials & materials,Industrials & materials,sector,Industrials & materials,2007-08-10,994,0.75056,-0.02114,0.01565,-0.05186,0.00958,0.17715,0.19396,0.01475,0.16501,0.22291,0.00000,0.28659,0.62287,0.13873,0.01649,0.02491,0.22144,0.00000
"Consumer, telecom & real estate","Consumer, telecom & real estate",sector,"Consumer, telecom & real estate",2007-08-10,994,0.84925,-0.12678,0.02430,-0.17446,-0.07909,0.00000,0.11661,0.02736,0.06292,0.17030,0.00002,0.28659,0.49815,0.03728,0.02206,0.03054,0.00000,0.00002
Technology & renewables,Technology & renewables,sector,Technology & renewables,2007-08-10,994,0.66473,-0.05808,0.02201,-0.10126,-0.01490,0.00844,0.13242,0.02978,0.07399,0.19086,0.00001,0.28659,0.26049,0.03790,0.03016,0.03439,0.01406,0.00001
Investment companies,Investment companies,sector,Investment companies,2007-08-10,994,0.83459,0.10621,0.03178,0.04385,0.16858,0.00086,0.34540,0.03372,0.27923,0.41157,0.00000,0.28659,0.52362,0.22181,0.02610,0.03335,0.00216,0.00000
EQNR.OL,Equinor,stock,Exploration & production,2007-08-10,994,0.77725,0.24242,0.03162,0.18037,0.30447,0.00000,0.46518,0.02754,0.41114,0.51921,0.00000,0.28659,0.59207,0.35869,0.02558,0.03206,0.00000,0.00000
AKRBP.OL,Aker BP,stock,Exploration & production,2009-01-16,919,1.00773,0.36066,0.04983,0.26287,0.45846,0.00000,0.60258,0.05444,0.49573,0.70943,0.00000,0.24006,0.37040,0.24669,0.04795,0.05242,0.00000,0.00000
VAR.OL,Vår Energi,stock,Exploration & production,2022-02-25,238,1.09560,0.38664,0.04993,0.28827,0.48502,0.00000,0.55096,0.04217,0.46789,0.63404,0.00000,0.14998,0.52115,0.38329,0.03422,0.03875,0.00000,0.00000
DNO.OL,DNO,stock,Exploration & production,2007-08-10,994,1.19732,0.40271,0.07319,0.25909,0.54633,0.00000,0.74585,0.06498,0.61833,0.87336,0.00000,0.28659,0.40070,0.25035,0.05951,0.06653,0.00000,0.00000
OKEA.OL,OKEA,stock,Exploration & production,2019-06-28,377,1.46923,0.27650,0.09788,0.08402,0.46897,0.00499,0.56268,0.08489,0.39576,0.72961,0.00000,0.19479,0.39416,0.24068,0.05494,0.06143,0.01239,0.00000
PEN.OL,Panoro Energy,stock,Exploration & production,2010-06-18,848,1.37751,0.47956,0.05409,0.37340,0.58573,0.00000,0.78466,0.06403,0.65898,0.91035,0.00000,0.22148,0.35218,0.23908,0.06461,0.06999,0.00000,0.00000
BWE.OL,BW Energy,stock,Exploration & production,2020-02-28,342,1.42113,0.35477,0.06424,0.22842,0.48112,0.00000,0.63118,0.07297,0.48765,0.77471,0.00000,0.19450,0.47457,0.32273,0.05123,0.05807,0.00000,0.00000
