,unit,date,beta_mkt,beta_oil_partial,partial_lo,partial_hi,beta_oil_total,total_lo,total_hi,nobs
0,MARKET,2009-07-31,1.00000,,,,0.56494,0.41670,0.71318,101
1,MARKET,2009-08-07,1.00000,,,,0.56495,0.41504,0.71487,101
2,MARKET,2009-08-14,1.00000,,,,0.56475,0.41472,0.71478,101
3,MARKET,2009-08-21,1.00000,,,,0.56518,0.41566,0.71470,101
4,MARKET,2009-08-28,1.00000,,,,0.56396,0.41407,0.71384,101
5,MARKET,2009-09-04,1.00000,,,,0.55901,0.40980,0.70822,101
6,MARKET,2009-09-11,1.00000,,,,0.56005,0.41072,0.70939,101
7,MARKET,2009-09-18,1.00000,,,,0.56230,0.41359,0.71101,101
8,MARKET,2009-09-25,1.00000,,,,0.55442,0.40618,0.70266,101
9,MARKET,2009-10-02,1.00000,,,,0.54997,0.40094,0.69899,101
10,MARKET,2009-10-09,1.00000,,,,0.55346,0.40502,0.70190,101
11,MARKET,2009-10-16,1.00000,,,,0.54866,0.40046,0.69686,101
12,MARKET,2009-10-23,1.00000,,,,0.54849,0.39958,0.69739,101
13,MARKET,2009-10-30,1.00000,,,,0.55112,0.40356,0.69868,101
14,MARKET,2009-11-06,1.00000,,,,0.55118,0.40356,0.69880,101
15,MARKET,2009-11-13,1.00000,,,,0.54973,0.39975,0.69970,101
16,MARKET,2009-11-20,1.00000,,,,0.55301,0.40428,0.70175,101
17,MARKET,2009-11-27,1.00000,,,,0.56825,0.42464,0.71185,101
18,MARKET,2009-12-04,1.00000,,,,0.56838,0.42466,0.71210,101
19,MARKET,2009-12-11,1.00000,,,,0.56067,0.41489,0.70646,101
20,MARKET,2009-12-18,1.00000,,,,0.56060,0.41484,0.70636,101
21,MARKET,2009-12-25,1.00000,,,,0.56057,0.41505,0.70610,101
22,MARKET,2010-01-01,1.00000,,,,0.56303,0.41695,0.70912,101
23,MARKET,2010-01-08,1.00000,,,,0.55862,0.41030,0.70694,101
24,MARKET,2010-01-15,1.00000,,,,0.55328,0.40315,0.70341,101
25,MARKET,2010-01-22,1.00000,,,,0.55576,0.40797,0.70354,101
26,MARKET,2010-01-29,1.00000,,,,0.55432,0.40551,0.70313,101
27,MARKET,2010-02-05,1.00000,,,,0.55743,0.40910,0.70575,101
28,MARKET,2010-02-12,1.00000,,,,0.54973,0.40107,0.69840,101
29,MARKET,2010-02-19,1.00000,,,,0.54973,0.40239,0.69707,101
30,MARKET,2010-02-26,1.00000,,,,0.55096,0.40391,0.69800,101
31,MARKET,2010-03-05,1.00000,,,,0.55668,0.40972,0.70365,101
32,MARKET,2010-03-12,1.00000,,,,0.55980,0.41250,0.70709,101
33,MARKET,2010-03-19,1.00000,,,,0.56051,0.41255,0.70848,101
34,MARKET,2010-03-26,1.00000,,,,0.55841,0.41009,0.70673,101
35,MARKET,2010-04-02,1.00000,,,,0.55601,0.40842,0.70361,101
36,MARKET,2010-04-09,1.00000,,,,0.55803,0.41030,0.70576,101
37,MARKET,2010-04-16,1.00000,,,,0.55670,0.40847,0.70493,101
38,MARKET,2010-04-23,1.00000,,,,0.55634,0.40798,0.70471,101
39,MARKET,2010-04-30,1.00000,,,,0.55728,0.41046,0.70411,101
40,MARKET,2010-05-07,1.00000,,,,0.57185,0.43009,0.71362,101
41,MARKET,2010-05-14,1.00000,,,,0.57069,0.42873,0.71265,101
42,MARKET,2010-05-21,1.00000,,,,0.57762,0.43783,0.71740,101
43,MARKET,2010-05-28,1.00000,,,,0.57808,0.43769,0.71847,101
44,MARKET,2010-06-04,1.00000,,,,0.58641,0.44722,0.72560,101
45,MARKET,2010-06-11,1.00000,,,,0.58644,0.44732,0.72556,101
46,MARKET,2010-06-18,1.00000,,,,0.58542,0.44678,0.72407,101
47,MARKET,2010-06-25,1.00000,,,,0.59136,0.45507,0.72764,101
