,unit,direction,day,mean_car,se,n_events
0,MARKET,down,-5,0.00792,0.00453,47
1,MARKET,down,-4,0.00863,0.00394,47
2,MARKET,down,-3,0.00509,0.00404,47
3,MARKET,down,-2,0.00520,0.00302,47
4,MARKET,down,-1,0.00000,0.00000,47
5,MARKET,down,0,-0.01858,0.00356,47
6,MARKET,down,1,-0.02464,0.00533,47
7,MARKET,down,2,-0.02784,0.00777,47
8,MARKET,down,3,-0.02226,0.00783,47
9,MARKET,down,4,-0.02430,0.00956,47
10,MARKET,down,5,-0.01440,0.00844,47
11,MARKET,down,6,-0.01347,0.00842,47
12,MARKET,down,7,-0.01445,0.00904,47
13,MARKET,down,8,-0.01081,0.01056,47
14,MARKET,down,9,-0.01445,0.00990,47
15,MARKET,down,10,-0.01829,0.00888,47
16,Exploration & production,down,-5,0.00157,0.00514,47
17,Exploration & production,down,-4,0.00147,0.00426,47
18,Exploration & production,down,-3,0.00203,0.00356,47
19,Exploration & production,down,-2,0.00085,0.00239,47
20,Exploration & production,down,-1,0.00000,0.00000,47
21,Exploration & production,down,0,-0.02683,0.00365,47
22,Exploration & production,down,1,-0.03398,0.00631,47
23,Exploration & production,down,2,-0.03086,0.00729,47
24,Exploration & production,down,3,-0.02444,0.00874,47
25,Exploration & production,down,4,-0.02494,0.01247,47
26,Exploration & production,down,5,-0.02236,0.01252,47
27,Exploration & production,down,6,-0.02012,0.01248,47
28,Exploration & production,down,7,-0.02105,0.01474,47
29,Exploration & production,down,8,-0.01473,0.01542,47
30,Exploration & production,down,9,-0.01955,0.01677,47
31,Exploration & production,down,10,-0.02332,0.01580,47
32,Oil service & drilling,down,-5,0.01210,0.00590,47
33,Oil service & drilling,down,-4,0.01127,0.00481,47
34,Oil service & drilling,down,-3,0.00753,0.00383,47
35,Oil service & drilling,down,-2,0.00217,0.00250,47
36,Oil service & drilling,down,-1,0.00000,0.00000,47
37,Oil service & drilling,down,0,-0.02723,0.00347,47
38,Oil service & drilling,down,1,-0.03579,0.00593,47
39,Oil service & drilling,down,2,-0.03258,0.00654,47
40,Oil service & drilling,down,3,-0.02837,0.00762,47
41,Oil service & drilling,down,4,-0.02977,0.00860,47
42,Oil service & drilling,down,5,-0.02789,0.00936,47
43,Oil service & drilling,down,6,-0.02619,0.01068,47
44,Oil service & drilling,down,7,-0.02868,0.01187,47
45,Oil service & drilling,down,8,-0.03131,0.01317,47
46,Oil service & drilling,down,9,-0.03351,0.01279,47
47,Oil service & drilling,down,10,-0.03275,0.01149,47
48,Tankers & gas shipping,down,-5,0.00719,0.00554,47
49,Tankers & gas shipping,down,-4,0.00601,0.00495,47
50,Tankers & gas shipping,down,-3,0.00770,0.00424,47
51,Tankers & gas shipping,down,-2,0.00188,0.00282,47
52,Tankers & gas shipping,down,-1,0.00000,0.00000,47
53,Tankers & gas shipping,down,0,-0.01185,0.00333,47
54,Tankers & gas shipping,down,1,-0.01629,0.00418,47
55,Tankers & gas shipping,down,2,-0.01578,0.00558,47
