,unit,direction,window,n_events,mean_oil_move,mean_car,t,p,share_positive
0,Exploration & production,down,pre,47,-0.02096,0.00297,0.48433,0.63045,0.46809
1,Exploration & production,down,impact,47,-0.07318,-0.01290,-2.55084,0.01414,0.29787
2,Exploration & production,down,drift,47,0.01328,0.00660,0.63637,0.52769,0.44681
3,Oil service & drilling,down,pre,47,-0.02096,-0.01418,-2.52068,0.01524,0.36170
4,Oil service & drilling,down,impact,47,-0.07318,-0.01444,-3.42420,0.00131,0.25532
5,Oil service & drilling,down,drift,47,0.01328,-0.00097,-0.13549,0.89281,0.40426
6,Tankers & gas shipping,down,pre,47,-0.02096,-0.00302,-0.51176,0.61126,0.44681
7,Tankers & gas shipping,down,impact,47,-0.07318,-0.00210,-0.47039,0.64030,0.44681
8,Tankers & gas shipping,down,drift,47,0.01328,0.00313,0.36678,0.71546,0.51064
9,Seafood,down,pre,47,-0.02096,-0.00749,-1.73620,0.08922,0.31915
10,Seafood,down,impact,47,-0.07318,0.00427,1.34098,0.18651,0.51064
11,Seafood,down,drift,47,0.01328,-0.01414,-1.72325,0.09156,0.46809
12,Banks & insurance,down,pre,47,-0.02096,-0.00108,-0.30697,0.76025,0.53191
13,Banks & insurance,down,impact,47,-0.07318,-0.00731,-3.28552,0.00195,0.29787
14,Banks & insurance,down,drift,47,0.01328,-0.00193,-0.37610,0.70857,0.46809
15,Industrials & materials,down,pre,47,-0.02096,-0.00390,-1.67024,0.10166,0.42553
16,Industrials & materials,down,impact,47,-0.07318,-0.00076,-0.38898,0.69908,0.48936
17,Industrials & materials,down,drift,47,0.01328,-0.00234,-0.69413,0.49109,0.44681
18,"Consumer, telecom & real estate",down,pre,47,-0.02096,-0.00092,-0.29089,0.77244,0.48936
19,"Consumer, telecom & real estate",down,impact,47,-0.07318,0.00497,2.26235,0.02844,0.68085
20,"Consumer, telecom & real estate",down,drift,47,0.01328,0.00865,1.80041,0.07835,0.63830
21,Technology & renewables,down,pre,47,-0.02096,0.00500,0.92599,0.35928,0.55319
22,Technology & renewables,down,impact,47,-0.07318,-0.00359,-0.99423,0.32531,0.40426
23,Technology & renewables,down,drift,47,0.01328,0.00721,0.98741,0.32861,0.53191
24,Investment companies,down,pre,47,-0.02096,-0.00055,-0.11695,0.90741,0.34043
25,Investment companies,down,impact,47,-0.07318,-0.00301,-1.09271,0.28021,0.51064
26,Investment companies,down,drift,47,0.01328,-0.00646,-0.86018,0.39415,0.51064
27,EQNR.OL,down,pre,47,-0.02096,0.00881,1.73994,0.08856,0.55319
28,EQNR.OL,down,impact,47,-0.07318,-0.00093,-0.21460,0.83102,0.36170
29,EQNR.OL,down,drift,47,0.01328,-0.00255,-0.35778,0.72215,0.48936
30,DNO.OL,down,pre,47,-0.02096,0.00050,0.04610,0.96343,0.38298
31,DNO.OL,down,impact,47,-0.07318,-0.01107,-1.55514,0.12677,0.38298
32,DNO.OL,down,drift,47,0.01328,0.02059,1.33147,0.18960,0.57447
33,SUBC.OL,down,pre,47,-0.02096,-0.00892,-1.58930,0.11884,0.34043
34,SUBC.OL,down,impact,47,-0.07318,-0.01107,-2.43209,0.01896,0.40426
35,SUBC.OL,down,drift,47,0.01328,0.00645,0.57613,0.56734,0.44681
36,TGS.OL,down,pre,47,-0.02096,0.00555,0.67976,0.50006,0.51064
37,TGS.OL,down,impact,47,-0.07318,-0.00846,-1.47385,0.14733,0.46809
38,TGS.OL,down,drift,47,0.01328,0.00794,0.93337,0.35550,0.55319
39,AKSO.OL,down,pre,47,-0.02096,-0.00323,-0.38280,0.70363,0.48936
40,AKSO.OL,down,impact,47,-0.07318,-0.01938,-2.66445,0.01060,0.34043
41,AKSO.OL,down,drift,47,0.01328,-0.00855,-0.66288,0.51072,0.44681
42,SOFF.OL,down,pre,47,-0.02096,-0.00626,-0.51133,0.61157,0.48936
43,SOFF.OL,down,impact,47,-0.07318,-0.01733,-1.80922,0.07695,0.42553
44,SOFF.OL,down,drift,47,0.01328,-0.01133,-1.05858,0.29532,0.38298
45,BWO.OL,down,pre,47,-0.02096,-0.02502,-3.71717,0.00055,0.29787
46,BWO.OL,down,impact,47,-0.07318,-0.01085,-1.39958,0.16835,0.38298
47,BWO.OL,down,drift,47,0.01328,-0.00558,-0.43085,0.66859,0.46809
48,FRO.OL,down,pre,47,-0.02096,0.00017,0.01054,0.99163,0.40426
49,FRO.OL,down,impact,47,-0.07318,0.00913,0.85507,0.39694,0.55319
50,FRO.OL,down,drift,47,0.01328,0.00780,0.42818,0.67052,0.53191
51,ODF.OL,down,pre,47,-0.02096,-0.00287,-0.52129,0.60467,0.44681
52,ODF.OL,down,impact,47,-0.07318,-0.01142,-1.92865,0.05996,0.42553
53,ODF.OL,down,drift,47,0.01328,-0.00070,-0.05678,0.95497,0.44681
54,SNI.OL,down,pre,47,-0.02096,-0.01188,-1.79053,0.07995,0.42553
55,SNI.OL,down,impact,47,-0.07318,-0.00421,-0.82210,0.41526,0.42553
56,SNI.OL,down,drift,47,0.01328,0.00607,0.75402,0.45468,0.53191
57,WWI.OL,down,pre,47,-0.02096,-0.01444,-2.37257,0.02190,0.42553
58,WWI.OL,down,impact,47,-0.07318,-0.00856,-1.43284,0.15866,0.51064
59,WWI.OL,down,drift,47,0.01328,-0.00161,-0.16717,0.86797,0.46809
60,MOWI.OL,down,pre,47,-0.02096,-0.01299,-1.99351,0.05216,0.31915
61,MOWI.OL,down,impact,47,-0.07318,0.01016,2.12999,0.03855,0.68085
62,MOWI.OL,down,drift,47,0.01328,-0.02254,-1.62753,0.11046,0.51064
63,SALM.OL,down,pre,47,-0.02096,-0.00114,-0.15205,0.87982,0.51064
64,SALM.OL,down,impact,47,-0.07318,0.00200,0.36756,0.71488,0.51064
65,SALM.OL,down,drift,47,0.01328,-0.00869,-0.88972,0.37824,0.48936
66,LSG.OL,down,pre,47,-0.02096,0.00414,0.47743,0.63532,0.44681
67,LSG.OL,down,impact,47,-0.07318,0.00355,0.85844,0.39510,0.59574
68,LSG.OL,down,drift,47,0.01328,-0.00284,-0.25538,0.79957,0.48936
69,AUSS.OL,down,pre,47,-0.02096,-0.01316,-1.72971,0.09039,0.42553
70,AUSS.OL,down,impact,47,-0.07318,-0.00187,-0.48875,0.62734,0.46809
71,AUSS.OL,down,drift,47,0.01328,-0.01385,-1.25522,0.21574,0.53191
72,GSF.OL,down,pre,47,-0.02096,-0.01272,-1.27206,0.20975,0.40426
73,GSF.OL,down,impact,47,-0.07318,0.00428,0.65088,0.51836,0.53191
74,GSF.OL,down,drift,47,0.01328,-0.03702,-2.24283,0.02977,0.38298
75,DNB.OL,down,pre,47,-0.02096,-0.00113,-0.20666,0.83718,0.44681
76,DNB.OL,down,impact,47,-0.07318,-0.00650,-1.28857,0.20399,0.40426
77,DNB.OL,down,drift,47,0.01328,0.00051,0.08485,0.93275,0.53191
78,STB.OL,down,pre,47,-0.02096,-0.00902,-1.31770,0.19413,0.48936
79,STB.OL,down,impact,47,-0.07318,-0.00758,-1.90225,0.06341,0.38298
80,STB.OL,down,drift,47,0.01328,0.00158,0.17853,0.85909,0.48936
81,MING.OL,down,pre,47,-0.02096,-0.00225,-0.38970,0.69856,0.51064
82,MING.OL,down,impact,47,-0.07318,-0.00678,-1.79646,0.07899,0.44681
83,MING.OL,down,drift,47,0.01328,-0.00136,-0.20796,0.83617,0.59574
84,NONG.OL,down,pre,47,-0.02096,-0.00370,-0.76754,0.44668,0.42553
85,NONG.OL,down,impact,47,-0.07318,-0.01178,-2.88389,0.00596,0.42553
86,NONG.OL,down,drift,47,0.01328,-0.00377,-0.49108,0.62571,0.55319
87,SB1NO.OL,down,pre,47,-0.02096,0.00103,0.16954,0.86611,0.51064
88,SB1NO.OL,down,impact,47,-0.07318,-0.01159,-2.85283,0.00647,0.44681
89,SB1NO.OL,down,drift,47,0.01328,0.00200,0.22199,0.82531,0.55319
90,PROT.OL,down,pre,47,-0.02096,-0.00159,-0.18892,0.85099,0.40426
