,unit,direction,window,n_events,mean_oil_move,mean_car,t,p,share_positive
0,MARKET,down,pre,47,-0.02096,-0.01353,-2.39912,0.02054,0.40426
1,MARKET,down,impact,47,-0.07318,-0.02464,-4.62032,0.00003,0.14894
2,MARKET,down,drift,47,0.01328,0.00635,1.19098,0.23977,0.61702
3,Exploration & production,down,pre,47,-0.02096,-0.00448,-0.67055,0.50586,0.48936
4,Exploration & production,down,impact,47,-0.07318,-0.03398,-5.38610,0.00000,0.10638
5,Exploration & production,down,drift,47,0.01328,0.01066,0.79230,0.43225,0.46809
6,Oil service & drilling,down,pre,47,-0.02096,-0.02060,-2.88903,0.00588,0.36170
7,Oil service & drilling,down,impact,47,-0.07318,-0.03579,-6.03989,0.00000,0.08511
8,Oil service & drilling,down,drift,47,0.01328,0.00304,0.29703,0.76778,0.48936
9,Tankers & gas shipping,down,pre,47,-0.02096,-0.00654,-1.17302,0.24682,0.44681
10,Tankers & gas shipping,down,impact,47,-0.07318,-0.01629,-3.89999,0.00031,0.29787
11,Tankers & gas shipping,down,drift,47,0.01328,0.00580,0.73158,0.46813,0.51064
12,Seafood,down,pre,47,-0.02096,-0.01103,-2.35431,0.02288,0.31915
13,Seafood,down,impact,47,-0.07318,-0.00801,-2.32742,0.02440,0.34043
14,Seafood,down,drift,47,0.01328,-0.01207,-1.35057,0.18344,0.48936
15,Banks & insurance,down,pre,47,-0.02096,-0.00472,-1.15063,0.25583,0.48936
16,Banks & insurance,down,impact,47,-0.07318,-0.01882,-5.96561,0.00000,0.14894
17,Banks & insurance,down,drift,47,0.01328,-0.00006,-0.00842,0.99332,0.51064
18,Industrials & materials,down,pre,47,-0.02096,-0.00775,-3.58781,0.00081,0.36170
19,Industrials & materials,down,impact,47,-0.07318,-0.01311,-5.78017,0.00000,0.23404
20,Industrials & materials,down,drift,47,0.01328,-0.00085,-0.17120,0.86482,0.51064
21,"Consumer, telecom & real estate",down,pre,47,-0.02096,-0.00557,-1.67316,0.10108,0.46809
22,"Consumer, telecom & real estate",down,impact,47,-0.07318,-0.00654,-2.29566,0.02630,0.40426
23,"Consumer, telecom & real estate",down,drift,47,0.01328,0.00960,1.94590,0.05779,0.72340
24,Technology & renewables,down,pre,47,-0.02096,0.00176,0.33853,0.73650,0.44681
25,Technology & renewables,down,impact,47,-0.07318,-0.01520,-4.18511,0.00013,0.27660
26,Technology & renewables,down,drift,47,0.01328,0.00989,1.22508,0.22678,0.53191
27,Investment companies,down,pre,47,-0.02096,-0.00553,-1.03974,0.30390,0.42553
28,Investment companies,down,impact,47,-0.07318,-0.01781,-5.34482,0.00000,0.17021
29,Investment companies,down,drift,47,0.01328,-0.00360,-0.37470,0.70961,0.51064
30,EQNR.OL,down,pre,47,-0.02096,0.00247,0.43264,0.66730,0.46809
31,EQNR.OL,down,impact,47,-0.07318,-0.01914,-3.93601,0.00028,0.14894
32,EQNR.OL,down,drift,47,0.01328,0.00091,0.11390,0.90981,0.48936
33,DNO.OL,down,pre,47,-0.02096,-0.00860,-0.75482,0.45420,0.38298
34,DNO.OL,down,impact,47,-0.07318,-0.03484,-4.61720,0.00003,0.19149
35,DNO.OL,down,drift,47,0.01328,0.02555,1.40424,0.16696,0.53191
36,SUBC.OL,down,pre,47,-0.02096,-0.01602,-2.37444,0.02180,0.29787
37,SUBC.OL,down,impact,47,-0.07318,-0.03344,-5.99964,0.00000,0.14894
38,SUBC.OL,down,drift,47,0.01328,0.00872,0.77150,0.44436,0.59574
39,TGS.OL,down,pre,47,-0.02096,-0.00116,-0.13901,0.89005,0.40426
40,TGS.OL,down,impact,47,-0.07318,-0.03177,-4.60770,0.00003,0.17021
41,TGS.OL,down,drift,47,0.01328,0.00975,0.86351,0.39234,0.51064
42,AKSO.OL,down,pre,47,-0.02096,-0.01102,-1.17560,0.24580,0.42553
43,AKSO.OL,down,impact,47,-0.07318,-0.04443,-4.95756,0.00001,0.12766
44,AKSO.OL,down,drift,47,0.01328,-0.00359,-0.24154,0.81021,0.46809
45,SOFF.OL,down,pre,47,-0.02096,-0.00921,-0.73996,0.46308,0.48936
46,SOFF.OL,down,impact,47,-0.07318,-0.03035,-3.08564,0.00343,0.27660
47,SOFF.OL,down,drift,47,0.01328,-0.00898,-0.80362,0.42575,0.48936
48,BWO.OL,down,pre,47,-0.02096,-0.03104,-4.09400,0.00017,0.25532
49,BWO.OL,down,impact,47,-0.07318,-0.03095,-3.57428,0.00084,0.21277
50,BWO.OL,down,drift,47,0.01328,-0.00068,-0.04224,0.96649,0.51064
51,FRO.OL,down,pre,47,-0.02096,-0.00323,-0.20058,0.84192,0.40426
52,FRO.OL,down,impact,47,-0.07318,-0.01111,-1.17780,0.24493,0.31915
53,FRO.OL,down,drift,47,0.01328,0.00890,0.51578,0.60848,0.51064
54,ODF.OL,down,pre,47,-0.02096,-0.00526,-0.96664,0.33878,0.44681
55,ODF.OL,down,impact,47,-0.07318,-0.02074,-3.31403,0.00180,0.27660
56,ODF.OL,down,drift,47,0.01328,0.00389,0.30749,0.75986,0.44681
57,SNI.OL,down,pre,47,-0.02096,-0.01579,-2.37164,0.02195,0.38298
58,SNI.OL,down,impact,47,-0.07318,-0.01565,-2.92630,0.00531,0.31915
59,SNI.OL,down,drift,47,0.01328,0.00719,0.89897,0.37335,0.51064
60,WWI.OL,down,pre,47,-0.02096,-0.01649,-2.74067,0.00870,0.38298
61,WWI.OL,down,impact,47,-0.07318,-0.01684,-2.68780,0.00998,0.34043
62,WWI.OL,down,drift,47,0.01328,0.00050,0.04997,0.96037,0.51064
63,MOWI.OL,down,pre,47,-0.02096,-0.01735,-2.44728,0.01827,0.31915
64,MOWI.OL,down,impact,47,-0.07318,-0.00381,-0.69970,0.48764,0.51064
65,MOWI.OL,down,drift,47,0.01328,-0.02176,-1.47220,0.14778,0.44681
66,SALM.OL,down,pre,47,-0.02096,-0.00369,-0.49270,0.62457,0.46809
67,SALM.OL,down,impact,47,-0.07318,-0.00903,-1.71079,0.09386,0.36170
68,SALM.OL,down,drift,47,0.01328,-0.00540,-0.53758,0.59346,0.53191
69,LSG.OL,down,pre,47,-0.02096,0.00009,0.01021,0.99190,0.40426
70,LSG.OL,down,impact,47,-0.07318,-0.00853,-1.98218,0.05345,0.40426
71,LSG.OL,down,drift,47,0.01328,-0.00024,-0.02052,0.98372,0.46809
72,AUSS.OL,down,pre,47,-0.02096,-0.01708,-2.11505,0.03987,0.42553
73,AUSS.OL,down,impact,47,-0.07318,-0.01511,-3.60343,0.00077,0.21277
74,AUSS.OL,down,drift,47,0.01328,-0.01132,-0.95016,0.34700,0.55319
75,GSF.OL,down,pre,47,-0.02096,-0.01552,-1.50933,0.13805,0.44681
76,GSF.OL,down,impact,47,-0.07318,-0.00783,-1.24768,0.21846,0.36170
77,GSF.OL,down,drift,47,0.01328,-0.03553,-2.11447,0.03993,0.46809
78,DNB.OL,down,pre,47,-0.02096,-0.00618,-1.02179,0.31222,0.38298
79,DNB.OL,down,impact,47,-0.07318,-0.02310,-3.82626,0.00039,0.21277
80,DNB.OL,down,drift,47,0.01328,0.00218,0.29344,0.77051,0.55319
81,STB.OL,down,pre,47,-0.02096,-0.01461,-1.80640,0.07740,0.46809
82,STB.OL,down,impact,47,-0.07318,-0.02644,-4.98878,0.00001,0.21277
