event_id,date,pos,z,oil_day0,direction,world_move,vix_change,oil_move,shock_type
0,2008-09-16,276,-2.64959,-0.05474,down,-0.03091,4.64000,0.00635,supply
1,2008-10-06,290,-3.25863,-0.07558,down,-0.05288,6.79000,-0.06394,demand
2,2008-10-22,301,-3.08451,-0.07751,down,-0.09424,16.68000,-0.05605,demand
3,2008-11-20,320,-2.55339,-0.07298,down,-0.13259,13.22000,-0.05015,demand
4,2008-12-08,331,2.82131,0.08856,up,0.07352,-5.15000,0.04406,demand
5,2009-01-02,344,4.71002,0.15561,up,0.06929,-4.71000,0.21177,demand
6,2010-05-05,652,-3.49339,-0.07383,down,-0.01770,2.86000,-0.10806,demand
7,2011-02-23,849,2.97750,0.05042,up,-0.02687,5.70000,0.05141,supply
8,2011-03-15,863,-2.71166,-0.04637,down,-0.01733,4.24000,-0.02720,demand
9,2011-05-05,895,-5.16540,-0.08963,down,-0.01599,1.50000,-0.10482,demand
10,2011-06-23,926,-3.67240,-0.06278,down,-0.00932,0.43000,-0.08294,demand
11,2011-08-04,952,-3.11398,-0.05426,down,-0.04400,6.87000,-0.03468,demand
12,2011-09-22,984,-2.51524,-0.04513,down,-0.06223,8.49000,-0.05965,demand
13,2012-06-29,1170,3.98123,0.06812,up,0.02250,-2.37000,0.06340,demand
14,2012-09-18,1223,-2.64362,-0.04255,down,0.01572,-1.62000,-0.07743,supply
15,2012-10-19,1244,-2.80717,-0.04379,down,-0.00483,1.79000,-0.05016,demand
16,2012-11-07,1255,-2.51625,-0.03902,down,-0.01617,0.66000,-0.03500,demand
17,2013-06-20,1395,-2.72636,-0.03813,down,-0.03928,3.88000,-0.05034,demand
18,2013-08-27,1436,2.71757,0.03226,up,-0.02005,2.79000,0.05174,supply
19,2014-01-02,1516,-2.98031,-0.03133,down,-0.00513,1.77000,-0.03962,demand
20,2014-06-12,1620,2.77875,0.02754,up,-0.01066,1.57000,0.03098,supply
21,2014-09-02,1676,-2.96053,-0.02801,down,0.00277,0.20000,-0.00408,supply
22,2014-09-17,1687,2.50708,0.02393,up,0.00875,-1.47000,0.01101,demand
23,2014-10-14,1706,-4.68018,-0.04428,down,-0.01503,1.55000,-0.05921,demand
24,2014-11-13,1728,-3.12297,-0.03108,down,-0.00017,0.87000,-0.03340,demand
25,2014-12-01,1739,2.81014,0.03350,up,-0.00940,2.09000,0.00554,supply
26,2014-12-19,1753,2.75951,0.03498,up,0.02829,-2.95000,0.01407,demand
27,2015-01-12,1764,-3.85611,-0.05497,down,-0.01657,2.59000,-0.07283,demand
28,2015-01-30,1777,4.97904,0.07563,up,-0.00359,0.53000,0.10831,supply
29,2015-02-17,1788,4.82619,0.08578,up,0.00566,0.46000,0.05327,demand
30,2015-04-08,1821,-2.95928,-0.06195,down,0.01073,-1.13000,-0.04375,supply
31,2015-07-06,1880,-4.05832,-0.09331,down,-0.00418,0.92000,-0.08785,demand
32,2015-08-24,1915,-2.58286,-0.06287,down,-0.07258,21.60000,-0.05076,demand
33,2016-01-19,2014,-2.70876,-0.07532,down,-0.02130,2.10000,-0.10640,demand
34,2016-02-09,2029,-2.77316,-0.08106,down,-0.01492,3.16000,-0.06405,demand
35,2016-11-30,2227,2.98248,0.08451,up,-0.00132,0.18000,0.08431,supply
36,2018-07-11,2618,-4.97381,-0.07175,down,-0.00365,0.94000,-0.05755,demand
37,2018-10-23,2691,-2.97567,-0.04339,down,-0.00984,0.82000,-0.04693,demand
38,2018-11-13,2706,-4.59235,-0.06862,down,-0.02138,2.66000,-0.05874,demand
39,2018-12-03,2719,2.94862,0.04951,up,0.01902,-2.35000,0.05581,demand
40,2018-12-20,2731,-2.93459,-0.05181,down,-0.03141,2.80000,-0.06161,demand
41,2019-05-23,2829,-2.51618,-0.04657,down,-0.01481,1.97000,-0.03294,demand
42,2019-08-01,2875,-3.86122,-0.07436,down,-0.01998,3.93000,-0.05164,demand
43,2019-09-16,2906,6.56531,0.13639,up,-0.00387,0.45000,0.06944,supply
44,2020-02-03,2999,-3.26458,-0.06591,down,-0.01064,2.48000,-0.07495,demand
45,2020-03-06,3022,-4.71568,-0.09918,down,-0.05171,9.95000,-0.37493,demand
46,2020-03-30,3038,-2.77818,-0.09107,down,-0.00130,-3.92000,-0.09195,demand
47,2020-04-21,3051,-7.33062,-0.27976,down,-0.04920,7.26000,-0.22736,demand
48,2021-07-19,3346,-3.50852,-0.06993,down,-0.02356,5.49000,-0.05934,demand
49,2021-08-23,3371,2.56162,0.05332,up,0.01660,-4.52000,0.08623,demand
50,2021-11-26,3438,-6.48554,-0.12315,down,-0.02070,9.24000,-0.11329,demand
51,2022-03-02,3502,3.49412,0.07309,up,0.00288,0.59000,0.05098,demand
52,2022-03-17,3513,3.52842,0.08429,up,0.03441,-4.16000,0.09631,demand
53,2022-07-05,3582,-3.02828,-0.08270,down,0.01208,-1.17000,-0.10314,supply
54,2022-08-01,3601,-3.39141,-0.09510,down,0.01128,0.51000,-0.09002,supply
55,2023-10-02,3890,-2.51698,-0.04947,down,-0.00263,0.27000,-0.04715,demand
56,2024-05-02,4034,-2.66822,-0.04886,down,-0.01021,0.01000,-0.05739,demand
57,2024-09-03,4115,-3.83060,-0.06623,down,-0.01134,5.07000,-0.08057,demand
58,2024-10-03,4137,2.69830,0.04911,up,-0.00154,1.23000,0.05464,supply
59,2024-10-28,4154,-3.48015,-0.06281,down,0.00235,0.72000,-0.06702,supply
60,2025-04-03,4259,-3.97427,-0.06633,down,-0.04290,8.25000,-0.13355,demand
61,2025-06-13,4303,3.69332,0.06786,up,-0.00755,3.56000,0.05429,supply
62,2025-10-23,4394,2.82501,0.05290,up,0.00046,-0.57000,0.05214,demand
63,2026-02-02,4459,-3.44841,-0.06411,down,0.00107,-0.54000,-0.04870,supply
64,2026-03-02,4478,3.61153,0.07006,up,-0.00395,2.81000,0.11606,supply
65,2026-03-23,4493,-4.89521,-0.11562,down,-0.00387,2.09000,-0.07110,demand
66,2026-04-17,4509,-3.21160,-0.09503,down,0.01458,-0.69000,-0.04013,supply
67,2026-05-06,4521,-2.70673,-0.08151,down,0.02257,-0.90000,-0.09353,supply
68,2026-07-13,4565,2.94008,0.09158,up,-0.00376,1.32000,0.10860,supply
