event_id,date,direction,oil_move,n_stocks,spearman_impact,spread_impact,spearman_drift,spread_drift
6,2010-05-05,down,-0.10806,37,0.14130,0.00655,-0.02110,-0.00269
7,2011-02-23,up,0.05141,38,0.38812,0.02147,0.27410,0.02425
8,2011-03-15,down,-0.02720,38,0.09771,0.01062,-0.08458,-0.01797
9,2011-05-05,down,-0.10482,38,0.17037,0.01592,0.14061,0.02821
10,2011-06-23,down,-0.08294,38,0.25397,0.02187,-0.25243,-0.01012
11,2011-08-04,down,-0.03468,38,-0.03666,-0.00553,-0.32421,-0.12782
12,2011-09-22,down,-0.05965,38,0.02943,-0.00378,-0.24499,-0.03361
13,2012-06-29,up,0.06340,41,0.24216,0.02089,0.21272,0.01573
14,2012-09-18,down,-0.07743,41,0.19233,0.01528,0.05314,-0.00350
15,2012-10-19,down,-0.05016,41,0.28432,0.02457,0.27439,0.03364
16,2012-11-07,down,-0.03500,41,0.51098,0.02348,-0.21638,-0.02269
17,2013-06-20,down,-0.05034,43,0.03005,0.00239,-0.06524,-0.01910
18,2013-08-27,up,0.05174,43,0.34400,0.02667,-0.01555,-0.00811
19,2014-01-02,down,-0.03962,43,-0.16068,-0.00640,-0.00846,-0.01565
20,2014-06-12,up,0.03098,43,0.33117,0.02220,-0.08426,0.00572
21,2014-09-02,down,-0.00408,43,0.19330,0.01813,0.17381,0.03713
22,2014-09-17,up,0.01101,43,-0.19465,-0.01525,0.04108,-0.00134
23,2014-10-14,down,-0.05921,43,0.32679,0.02988,0.12474,0.01653
24,2014-11-13,down,-0.03340,44,0.23087,0.00803,0.11064,0.02193
25,2014-12-01,up,0.00554,44,0.07442,0.01553,-0.36589,-0.02941
26,2014-12-19,up,0.01407,44,-0.25906,-0.02951,-0.50007,-0.06361
27,2015-01-12,down,-0.07283,44,0.62565,0.06668,-0.20536,-0.06121
28,2015-01-30,up,0.10831,44,0.50486,0.06121,0.03904,0.02669
29,2015-02-17,up,0.05327,44,0.15377,0.01733,0.00127,-0.03016
30,2015-04-08,down,-0.04375,44,0.23524,0.01378,-0.15715,-0.01561
31,2015-07-06,down,-0.08785,44,0.49006,0.02503,0.48513,0.05194
32,2015-08-24,down,-0.05076,44,0.16335,0.00741,-0.05102,-0.02015
33,2016-01-19,down,-0.10640,46,0.09491,0.01003,-0.53549,-0.07686
34,2016-02-09,down,-0.06405,46,0.37959,0.04172,0.30262,0.05298
35,2016-11-30,up,0.08431,49,0.66449,0.06885,0.30224,0.04402
36,2018-07-11,down,-0.05755,51,0.28652,0.00958,0.07864,-0.00358
37,2018-10-23,down,-0.04693,51,0.15982,0.00113,0.41575,0.06387
38,2018-11-13,down,-0.05874,51,0.32290,0.03463,0.30516,0.07628
39,2018-12-03,up,0.05581,51,0.44787,0.01989,-0.31855,-0.05321
40,2018-12-20,down,-0.06161,51,0.00235,-0.00163,-0.65846,-0.11183
41,2019-05-23,down,-0.03294,51,0.43285,0.03421,0.14905,0.01892
42,2019-08-01,down,-0.05164,52,0.52770,0.03067,0.46273,0.06424
43,2019-09-16,up,0.06944,53,-0.03693,-0.00052,-0.33196,-0.04441
44,2020-02-03,down,-0.07495,53,0.10305,0.01858,0.43638,0.07852
45,2020-03-06,down,-0.37493,53,0.62401,0.15953,0.20223,0.02580
46,2020-03-30,down,-0.09195,54,0.36299,0.07293,-0.01864,-0.00999
47,2020-04-21,down,-0.22736,54,0.37404,0.04184,-0.63598,-0.16210
48,2021-07-19,down,-0.05934,56,0.48879,0.03330,-0.26692,-0.02298
49,2021-08-23,up,0.08623,56,0.53329,0.03913,-0.13185,-0.00716
50,2021-11-26,down,-0.11329,57,0.22381,0.01201,0.25363,0.02446
51,2022-03-02,up,0.05098,59,0.54307,0.07576,-0.28966,-0.07476
52,2022-03-17,up,0.09631,59,0.52338,0.04084,0.45137,0.05049
53,2022-07-05,down,-0.10314,59,0.58323,0.05982,-0.00491,0.00898
54,2022-08-01,down,-0.09002,59,0.39737,0.02216,0.00503,-0.01159
55,2023-10-02,down,-0.04715,59,0.10421,-0.00029,0.12005,0.01097
56,2024-05-02,down,-0.05739,62,0.37760,0.01444,-0.06474,0.00752
57,2024-09-03,down,-0.08057,62,0.20838,0.00656,0.44917,0.03903
58,2024-10-03,up,0.05464,62,0.31374,0.02326,-0.28614,-0.03131
59,2024-10-28,down,-0.06702,62,0.39140,0.02509,-0.29450,-0.04704
60,2025-04-03,down,-0.13355,61,0.34960,0.03312,0.31396,0.02968
61,2025-06-13,up,0.05429,61,0.51793,0.02578,-0.54907,-0.06365
62,2025-10-23,up,0.05214,62,0.38873,0.02415,0.46332,0.06380
63,2026-02-02,down,-0.04870,62,0.14548,0.00449,-0.03750,-0.00831
64,2026-03-02,up,0.11606,62,0.57951,0.05343,-0.00597,-0.02405
65,2026-03-23,down,-0.07110,62,-0.07471,-0.01604,0.42525,0.02576
66,2026-04-17,down,-0.04013,62,0.23613,0.01511,-0.41538,-0.04816
67,2026-05-06,down,-0.09353,62,0.42484,0.04596,-0.17736,-0.02161
68,2026-07-13,up,0.10860,62,0.30009,0.01293,-0.18214,-0.02427
