,PC1,PC2,PC3,PC4,PC5
EQNR.OL,0.20030,0.20619,0.23531,-0.02474,0.05753
DNO.OL,0.18890,0.14969,0.22654,0.03014,0.09313
SUBC.OL,0.22557,0.21404,0.19040,-0.09670,0.02303
TGS.OL,0.21201,0.16545,0.20045,-0.02492,0.10638
AKSO.OL,0.21125,0.16632,0.12160,-0.08286,0.13260
SOFF.OL,0.10538,0.06470,0.16523,0.19889,0.09039
BWO.OL,0.16365,0.11039,0.15481,0.16412,0.08229
FRO.OL,0.10953,0.06019,0.07019,0.05615,-0.33257
ODF.OL,0.12037,0.05886,0.04269,0.41266,-0.12937
SNI.OL,0.16539,0.09554,0.13059,0.24006,-0.19872
WWI.OL,0.15036,-0.02403,0.00270,0.30178,-0.05810
MOWI.OL,0.15805,-0.36269,0.14357,-0.10911,-0.01802
SALM.OL,0.10899,-0.42421,0.16256,0.05110,0.05394
LSG.OL,0.13269,-0.41134,0.13661,0.12378,0.10267
AUSS.OL,0.17402,-0.36231,0.16326,-0.03562,-0.02127
GSF.OL,0.12918,-0.33946,0.21722,0.00702,-0.00052
DNB.OL,0.23349,0.03321,-0.10834,-0.19965,0.05515
STB.OL,0.21515,0.01857,-0.09407,-0.16036,0.02326
MING.OL,0.20215,-0.04111,-0.24457,-0.04010,0.33678
NONG.OL,0.18703,-0.04802,-0.21576,0.06436,0.27869
SB1NO.OL,0.19475,-0.02730,-0.25867,0.01316,0.34231
PROT.OL,0.10549,0.02385,-0.16071,0.06920,0.18971
NHY.OL,0.20895,0.09724,0.02531,-0.11711,-0.16672
YAR.OL,0.17615,0.11775,0.13164,-0.18358,-0.24990
KOG.OL,0.11639,0.04645,-0.10605,0.04081,0.07299
TOM.OL,0.11251,-0.06670,-0.21177,0.00035,-0.31833
VEI.OL,0.17005,-0.02945,-0.18724,-0.03581,-0.08805
AFG.OL,0.11687,-0.03798,-0.09288,0.13284,-0.14526
HEX.OL,0.10899,0.02953,-0.24251,0.17666,-0.02689
ORK.OL,0.16479,-0.06579,-0.04954,-0.34596,-0.25340
TEL.OL,0.14552,-0.04621,-0.10069,-0.37169,-0.03530
NAS.OL,0.09429,-0.02078,-0.18579,-0.08305,-0.07768
NOD.OL,0.10727,-0.00665,-0.24417,0.17441,-0.11241
ATEA.OL,0.17173,-0.00459,-0.19610,-0.03001,-0.20313
BOUV.OL,0.09709,-0.05663,-0.18062,0.28281,-0.12712
AKER.OL,0.22777,0.15024,0.07792,0.03813,0.12989
BONHR.OL,0.16551,-0.03545,-0.08567,0.09412,-0.16274
