unit,name,kind,sector,nobs,n_down,n_up,beta_down,se_down,beta_up,se_up,difference,t_diff,p_diff,q_diff
MARKET,Oslo Børs Benchmark Index,market,,994,461,532,0.36963,0.05764,0.18618,0.03712,-0.18345,-2.52796,0.01163,0.01163
Exploration & production,Exploration & production,sector,Exploration & production,994,461,532,0.70445,0.07660,0.56522,0.05270,-0.13923,-1.31145,0.19001,0.19001
Oil service & drilling,Oil service & drilling,sector,Oil service & drilling,994,461,532,0.66778,0.07023,0.44778,0.05834,-0.22000,-2.08910,0.03695,0.04619
Tankers & gas shipping,Tankers & gas shipping,sector,Tankers & gas shipping,994,461,532,0.29237,0.05252,0.09890,0.04396,-0.19347,-2.87810,0.00409,0.00681
Other shipping,Other shipping,sector,Other shipping,846,398,447,0.31967,0.08225,0.04591,0.05718,-0.27376,-2.17907,0.02960,0.04229
Seafood,Seafood,sector,Seafood,994,461,532,0.19008,0.03421,0.02258,0.04640,-0.16750,-3.06322,0.00225,0.00562
Banks & insurance,Banks & insurance,sector,Banks & insurance,994,461,532,0.30690,0.04300,0.06877,0.02729,-0.23813,-4.25958,0.00002,0.00011
Industrials & materials,Industrials & materials,sector,Industrials & materials,994,461,532,0.26988,0.02497,0.10216,0.02281,-0.16772,-4.38403,0.00001,0.00011
"Consumer, telecom & real estate","Consumer, telecom & real estate",sector,"Consumer, telecom & real estate",994,461,532,0.20326,0.04617,0.01183,0.02775,-0.19143,-3.42164,0.00065,0.00216
Technology & renewables,Technology & renewables,sector,Technology & renewables,994,461,532,0.22419,0.05344,0.02147,0.03304,-0.20273,-2.94319,0.00332,0.00665
Investment companies,Investment companies,sector,Investment companies,994,461,532,0.41235,0.06263,0.26444,0.04035,-0.14791,-1.76357,0.07811,0.08679
EQNR.OL,Equinor,stock,Exploration & production,994,461,532,0.46178,0.04226,0.46928,0.03949,0.00749,0.11967,0.90477,0.92077
AKRBP.OL,Aker BP,stock,Exploration & production,919,428,490,0.68449,0.11120,0.51225,0.06402,-0.17224,-1.15868,0.24689,0.35350
