unit,name,kind,sector,nobs,n_calm,n_turbulent,beta_calm,se_calm,beta_turbulent,se_turbulent,difference,t_diff,p_diff,q_diff
MARKET,Oslo Børs Benchmark Index,market,,890,447,442,0.27036,0.04143,0.21777,0.03042,-0.05259,-1.15578,0.24808,0.24808
Exploration & production,Exploration & production,sector,Exploration & production,890,447,442,0.58802,0.04104,0.64046,0.05586,0.05244,0.77546,0.43828,0.63801
Oil service & drilling,Oil service & drilling,sector,Oil service & drilling,890,447,442,0.52809,0.05315,0.56647,0.04718,0.03838,0.56208,0.57421,0.63801
Tankers & gas shipping,Tankers & gas shipping,sector,Tankers & gas shipping,890,447,442,0.29112,0.04314,0.12007,0.05134,-0.17105,-2.54137,0.01121,0.10713
Other shipping,Other shipping,sector,Other shipping,846,421,424,0.15072,0.04505,0.20776,0.04469,0.05704,0.92535,0.35505,0.63801
Seafood,Seafood,sector,Seafood,890,447,442,0.12198,0.03535,0.08788,0.03332,-0.03410,-0.71256,0.47631,0.63801
Banks & insurance,Banks & insurance,sector,Banks & insurance,890,447,442,0.16255,0.02393,0.18825,0.03023,0.02570,0.72245,0.47021,0.63801
Industrials & materials,Industrials & materials,sector,Industrials & materials,890,447,442,0.18860,0.01841,0.14652,0.01810,-0.04209,-1.83179,0.06732,0.22440
"Consumer, telecom & real estate","Consumer, telecom & real estate",sector,"Consumer, telecom & real estate",890,447,442,0.08513,0.03324,0.08191,0.03138,-0.00322,-0.08548,0.93190,0.93190
Technology & renewables,Technology & renewables,sector,Technology & renewables,890,447,442,0.19594,0.04510,0.08725,0.02712,-0.10868,-2.30449,0.02143,0.10713
Investment companies,Investment companies,sector,Investment companies,890,447,442,0.34822,0.03275,0.31291,0.04737,-0.03531,-0.61907,0.53603,0.63801
EQNR.OL,Equinor,stock,Exploration & production,890,447,442,0.46270,0.03683,0.43764,0.03868,-0.02506,-0.51127,0.60929,0.89407
AKRBP.OL,Aker BP,stock,Exploration & production,890,447,442,0.62022,0.05141,0.60034,0.08131,-0.01988,-0.19121,0.84840,0.93231
VAR.OL,Vår Energi,stock,Exploration & production,238,81,156,0.53552,0.07716,0.55874,0.04557,0.02322,0.27507,0.78350,0.93231
DNO.OL,DNO,stock,Exploration & production,890,447,442,0.55954,0.07446,0.78132,0.09250,0.22178,1.85646,0.06372,0.39000
OKEA.OL,OKEA,stock,Exploration & production,377,143,233,0.56556,0.07552,0.56173,0.11083,-0.00383,-0.02852,0.97726,0.99302
PEN.OL,Panoro Energy,stock,Exploration & production,848,423,424,0.68710,0.07767,0.82883,0.08053,0.14172,1.23366,0.21767,0.66918
BWE.OL,BW Energy,stock,Exploration & production,342,109,232,0.65980,0.10277,0.62286,0.08299,-0.03694,-0.32551,0.74499,0.93231
SUBC.OL,Subsea 7,stock,Oil service & drilling,890,447,442,0.53003,0.07043,0.54335,0.04511,0.01332,0.16124,0.87194,0.93231
TGS.OL,TGS,stock,Oil service & drilling,890,447,442,0.51842,0.07227,0.53861,0.05097,0.02020,0.21419,0.83045,0.93231
AKSO.OL,Aker Solutions,stock,Oil service & drilling,889,447,441,0.59984,0.06136,0.62396,0.08230,0.02412,0.22882,0.81906,0.93231
ODL.OL,Odfjell Drilling,stock,Oil service & drilling,676,275,400,0.50151,0.08106,0.58361,0.08758,0.08210,0.65545,0.51240,0.89407
BORR.OL,Borr Drilling,stock,Oil service & drilling,420,192,227,0.85017,0.19775,0.68961,0.11274,-0.16056,-0.80145,0.42333,0.84336
SOFF.OL,Solstad Offshore,stock,Oil service & drilling,889,447,441,0.33750,0.11140,0.41339,0.07093,0.07589,0.57095,0.56818,0.89407
DOFG.OL,DOF Group,stock,Oil service & drilling,168,79,89,0.27614,0.10151,0.23420,0.04452,-0.04193,-0.40220,0.68806,0.93231
BWO.OL,BW Offshore,stock,Oil service & drilling,890,447,442,0.53905,0.07079,0.61426,0.10126,0.07521,0.62738,0.53057,0.89407
ARCH.OL,Archer,stock,Oil service & drilling,824,399,424,0.49059,0.08800,0.60260,0.08777,0.11201,0.95522,0.33975,0.79274
FRO.OL,Frontline,stock,Tankers & gas shipping,890,447,442,0.38362,0.08036,-0.07808,0.11872,-0.46170,-3.36133,0.00081,0.05096
HAFNI.OL,Hafnia,stock,Tankers & gas shipping,357,123,233,0.40381,0.08828,0.07546,0.08849,-0.32834,-2.61465,0.00931,0.17717
OET.OL,Okeanis Eco Tankers,stock,Tankers & gas shipping,427,163,263,0.38050,0.13432,0.00023,0.07331,-0.38026,-2.43496,0.01531,0.19285
BWLPG.OL,BW LPG,stock,Tankers & gas shipping,668,267,400,0.28408,0.08443,0.31134,0.05651,0.02727,0.26384,0.79199,0.93231
