unit,name,kind,sector,nobs,beta_oil_total,total_lo,total_hi,r2_oil_only,non_oil_vol,exp_-20%,lo_-20%,hi_-20%,exp_-10%,lo_-10%,hi_-10%,exp_+10%,lo_+10%,hi_+10%,exp_+20%,lo_+20%,hi_+20%,p_same_sign,p_same_sign_shock,rank
MARKET,Oslo Børs Benchmark Index,market,,260,0.15378,0.10198,0.20559,0.19911,0.01668,-0.03373,-0.04484,-0.02250,-0.01607,-0.02143,-0.01069,0.01477,0.00977,0.01979,0.02843,0.01877,0.03819,0.81024,0.10000,1
Exploration & production,Exploration & production,sector,Exploration & production,260,0.54138,0.47657,0.60618,0.46811,0.03121,-0.11379,-0.12652,-0.10088,-0.05544,-0.06187,-0.04897,0.05295,0.04647,0.05948,0.10374,0.09078,0.11686,0.95088,0.10000,1
Oil service & drilling,Oil service & drilling,sector,Oil service & drilling,260,0.39624,0.28283,0.50966,0.24187,0.03794,-0.08462,-0.10750,-0.06116,-0.04089,-0.05228,-0.02936,0.03849,0.02732,0.04977,0.07492,0.05292,0.09738,0.84025,0.10000,2
Tankers & gas shipping,Tankers & gas shipping,sector,Tankers & gas shipping,260,0.19154,0.09240,0.29068,0.06640,0.03884,-0.04184,-0.06280,-0.02041,-0.01998,-0.03016,-0.00969,0.01842,0.00885,0.02809,0.03554,0.01699,0.05443,0.68083,0.10000,3
Investment companies,Investment companies,sector,Investment companies,260,0.17095,0.12300,0.21891,0.08553,0.03023,-0.03743,-0.04767,-0.02707,-0.01785,-0.02280,-0.01288,0.01643,0.01179,0.02108,0.03166,0.02268,0.04072,0.70506,0.10000,4
Other shipping,Other shipping,sector,Other shipping,260,0.09012,0.00083,0.17940,0.01159,0.04501,-0.01991,-0.03924,-0.00019,-0.00945,-0.01872,-0.00009,0.00863,0.00008,0.01725,0.01657,0.00015,0.03325,0.57567,0.10000,5
Industrials & materials,Industrials & materials,sector,Industrials & materials,260,0.05874,0.02111,0.09637,0.01732,0.02393,-0.01302,-0.02128,-0.00470,-0.00617,-0.01010,-0.00222,0.00561,0.00201,0.00923,0.01077,0.00386,0.01773,0.59251,0.10000,6
Technology & renewables,Technology & renewables,sector,Technology & renewables,260,0.00623,-0.05342,0.06589,0.00008,0.03782,-0.00139,-0.01460,0.01199,-0.00066,-0.00692,0.00564,0.00059,-0.00508,0.00630,0.00114,-0.00969,0.01209,0.50627,0.10000,7
Banks & insurance,Banks & insurance,sector,Banks & insurance,260,0.00529,-0.04101,0.05159,0.00020,0.02005,-0.00118,-0.01144,0.00919,-0.00056,-0.00542,0.00433,0.00050,-0.00390,0.00493,0.00096,-0.00745,0.00945,0.51003,0.10000,8
Seafood,Seafood,sector,Seafood,260,-0.00643,-0.07974,0.06689,0.00008,0.03792,0.00144,-0.01481,0.01795,0.00068,-0.00702,0.00844,-0.00061,-0.00757,0.00640,-0.00117,-0.01443,0.01227,0.50645,0.10000,9
"Consumer, telecom & real estate","Consumer, telecom & real estate",sector,"Consumer, telecom & real estate",260,-0.03866,-0.08515,0.00783,0.00931,0.02156,0.00866,-0.00175,0.01918,0.00408,-0.00083,0.00901,-0.00368,-0.00808,0.00075,-0.00702,-0.01541,0.00143,0.56784,0.10000,10
