unit,n_events,shock_beta,shock_lo,shock_hi,shock_p,shock_r2
MARKET,69,0.25051,0.15438,0.34665,0.00000,0.29837
Exploration & production,69,0.55070,0.44273,0.65867,0.00000,0.80121
Oil service & drilling,69,0.52364,0.42169,0.62559,0.00000,0.69789
Tankers & gas shipping,69,0.14764,0.01287,0.28242,0.03227,0.15836
Seafood,69,0.09597,-0.05519,0.24713,0.20946,0.07610
Banks & insurance,69,0.18169,0.13139,0.23199,0.00000,0.41809
Industrials & materials,69,0.12830,0.05243,0.20416,0.00123,0.33049
"Consumer, telecom & real estate",69,0.10232,0.02200,0.18265,0.01331,0.17901
Technology & renewables,69,0.11966,0.05478,0.18453,0.00046,0.15661
Investment companies,69,0.30087,0.24862,0.35313,0.00000,0.66103
EQNR.OL,69,0.42405,0.35447,0.49362,0.00000,0.66568
DNO.OL,69,0.47760,0.37020,0.58499,0.00000,0.41511
SUBC.OL,69,0.47107,0.32226,0.61988,0.00000,0.46048
TGS.OL,69,0.49674,0.38935,0.60412,0.00000,0.54809
AKSO.OL,69,0.64833,0.49967,0.79699,0.00000,0.61945
SOFF.OL,69,0.38476,0.24106,0.52846,0.00000,0.20250
BWO.OL,69,0.52338,0.27846,0.76829,0.00006,0.41610
FRO.OL,69,-0.06290,-0.44001,0.31421,0.74023,0.00736
ODF.OL,69,0.25215,0.06164,0.44266,0.01025,0.26536
SNI.OL,69,0.21177,0.08924,0.33430,0.00098,0.22398
WWI.OL,69,0.20195,-0.00315,0.40705,0.05352,0.20449
MOWI.OL,69,0.11200,-0.07135,0.29535,0.22701,0.06424
SALM.OL,69,0.04643,-0.06444,0.15729,0.40621,0.01106
LSG.OL,69,0.07400,-0.07402,0.22203,0.32193,0.03492
AUSS.OL,69,0.16143,-0.01935,0.34222,0.07923,0.15210
GSF.OL,69,0.08432,-0.10611,0.27475,0.37994,0.02339
DNB.OL,69,0.25628,0.18627,0.32628,0.00000,0.30014
STB.OL,69,0.22143,0.13730,0.30555,0.00000,0.26115
MING.OL,69,0.20874,0.12621,0.29127,0.00000,0.32571
NONG.OL,69,0.16715,0.10327,0.23102,0.00000,0.22984
SB1NO.OL,69,0.20347,0.13357,0.27336,0.00000,0.29475
PROT.OL,69,0.10550,0.01742,0.19358,0.01962,0.05160
NHY.OL,69,0.15687,0.00776,0.30598,0.03951,0.17915
YAR.OL,69,0.16884,-0.00140,0.33908,0.05185,0.18452
KOG.OL,69,0.04306,-0.03273,0.11885,0.26082,0.01051
TOM.OL,69,0.08850,-0.04625,0.22325,0.19437,0.03606
VEI.OL,69,0.09747,0.02419,0.17076,0.00991,0.08460
AFG.OL,69,0.12980,0.04939,0.21021,0.00197,0.13615
HEX.OL,69,0.18647,0.05739,0.31555,0.00528,0.12658
ORK.OL,69,0.07336,-0.03179,0.17852,0.16834,0.05520
TEL.OL,69,0.06627,-0.01784,0.15038,0.12053,0.06381
NAS.OL,69,0.17869,-0.09001,0.44739,0.18890,0.07369
NOD.OL,69,0.05670,-0.09755,0.21094,0.46570,0.00662
ATEA.OL,69,0.14558,0.06012,0.23104,0.00114,0.16904
BOUV.OL,69,0.10307,0.03497,0.17116,0.00357,0.15102
AKER.OL,69,0.42221,0.35559,0.48884,0.00000,0.72869
BONHR.OL,69,0.18326,0.11387,0.25265,0.00000,0.22035
AKRBP.OL,63,0.61721,0.48378,0.75064,0.00000,0.62884
Other shipping,62,0.26016,0.11919,0.40113,0.00048,0.42142
PEN.OL,62,0.77239,0.43441,1.11037,0.00002,0.58893
WAWI.OL,62,0.15346,0.04744,0.25947,0.00528,0.15213
BAKKA.OL,62,0.04032,-0.04493,0.12557,0.34786,0.01256
ARCH.OL,58,0.46544,0.27338,0.65751,0.00001,0.36935
GJF.OL,58,0.07045,0.00366,0.13725,0.03908,0.12052
BRG.OL,52,0.01971,-0.08053,0.11995,0.69456,0.00449
ODL.OL,49,0.58161,0.29926,0.86395,0.00014,0.54992
BWLPG.OL,48,0.28736,0.16637,0.40835,0.00002,0.26497
ENTRA.OL,38,0.06307,-0.05865,0.18479,0.30035,0.05063
NEL.OL,38,0.09288,-0.05178,0.23753,0.20114,0.02968
SCATC.OL,38,0.09971,-0.01643,0.21584,0.09019,0.06029
EPR.OL,36,0.02551,-0.04096,0.09197,0.44090,0.01596
KID.OL,34,0.10293,0.00791,0.19796,0.03465,0.08831
BORR.OL,24,0.68639,0.42692,0.94586,0.00002,0.51645
MPCC.OL,33,0.47223,0.24684,0.69762,0.00017,0.49968
ELK.OL,32,0.17677,-0.03083,0.38437,0.09229,0.10870
OET.OL,28,-0.06813,-0.29824,0.16198,0.54808,0.02664
OKEA.OL,25,0.44380,0.36249,0.52511,0.00000,0.71047
BWE.OL,21,0.48231,0.34445,0.62017,0.00000,0.77515
HAFNI.OL,21,0.38838,0.21759,0.55916,0.00014,0.44067
SATS.OL,21,0.00490,-0.22115,0.23096,0.96426,0.00011
HAUTO.OL,16,0.32592,0.10174,0.55011,0.00756,0.44602
AUTO.OL,16,-0.02742,-0.57594,0.52109,0.91612,0.00089
VAR.OL,14,0.52618,0.32604,0.72631,0.00009,0.86445
DOFG.OL,13,0.14858,-0.10346,0.40062,0.22101,0.13787
